a,b,c,d,e,f,g,h
2,8,10,0,48,11,6,16
13,15,28,0,30,3,8,7
10,20,30,0,28,13,6,4
10,26,36,0,22,8,8,6
14,37,51,1,7,8,0,5
10,34,44,0,14,13,11,6
12,39,51,1,7,15,11,6
1,1,2,0,56,7,6,9
17,9,26,0,32,19,5,0
8,22,30,0,28,9,15,5
3,1,4,0,54,3,3,6
16,14,30,0,28,0,0,3
14,6,20,0,38,4,0,17
1,37,38,0,20,13,17,13
3,2,5,1,53,10,7,18
0,5,5,1,53,6,2,11
5,7,12,0,46,9,17,2
1,5,6,0,52,16,2,18
14,22,36,0,22,11,6,9
10,14,24,0,34,1,0,13
19,36,55,1,3,0,13,7
14,10,24,0,34,9,13,9
12,21,33,1,25,8,15,9
10,26,36,0,22,17,5,5
1,25,26,0,32,11,6,11
1,31,32,0,26,15,18,14
12,8,20,0,38,11,16,0
0,20,20,0,38,6,0,2
0,32,32,0,26,13,13,16
4,34,38,0,20,12,16,11
17,24,41,1,17,14,11,19
9,26,35,1,23,3,12,12
14,34,48,0,10,12,0,13
8,24,32,0,26,5,0,17
3,37,40,0,18,15,0,13
7,5,12,0,46,15,3,6
1,13,14,0,44,12,19,10
15,4,19,1,39,18,12,4
3,3,6,0,52,10,15,6
7,18,25,1,33,0,5,13
19,9,28,0,30,12,18,2
11,16,27,1,31,15,3,13
9,17,26,0,32,2,18,11
10,24,34,0,24,2,0,6
15,37,52,0,6,5,0,0
5,33,38,0,20,16,1,14
12,15,27,1,31,10,15,16
17,13,30,0,28,19,5,14
11,30,41,1,17,17,9,8
8,4,12,0,46,11,9,13
2,21,23,1,35,13,15,8
4,16,20,0,38,6,6,7
18,7,25,1,33,1,0,6
10,24,34,0,24,7,7,4
6,12,18,0,40,11,5,19
8,7,15,1,43,3,14,13
11,26,37,1,21,4,15,3
10,6,16,0,42,0,1,17
13,26,39,1,19,14,15,3
5,6,11,1,47,17,1,11
12,17,29,1,29,16,12,3
8,32,40,0,18,7,7,7
18,9,27,1,31,11,6,13
3,30,33,1,25,19,9,19
2,28,30,0,28,11,6,19
9,36,45,1,13,5,15,17
10,6,16,0,42,6,19,4
13,28,41,1,17,14,16,1
8,37,45,1,13,8,8,18
18,30,48,0,10,16,10,18
9,7,16,0,42,17,8,5
2,32,34,0,24,0,15,0
2,4,6,0,52,14,11,12
19,23,42,0,16,7,9,1
2,19,21,1,37,10,8,0
18,21,39,1,19,5,7,18
5,20,25,1,33,7,11,9
1,1,2,0,56,6,13,2
6,20,26,0,32,1,8,13
12,37,49,1,9,15,16,7
8,17,25,1,33,2,16,10
15,11,26,0,32,7,8,17
12,39,51,1,7,3,18,4
8,3,11,1,47,3,3,12
12,19,31,1,27,7,18,16
19,20,39,1,19,18,5,8
8,19,27,1,31,18,11,19
3,36,39,1,19,7,5,8
8,16,24,0,34,10,8,9
16,38,54,0,4,19,6,17
4,2,6,0,52,4,14,12
18,29,47,1,11,18,1,17
11,23,34,0,24,2,16,15
12,9,21,1,37,4,18,14
6,9,15,1,43,6,11,4
18,28,46,0,12,0,10,7
0,25,25,1,33,16,13,17
5,24,29,1,29,17,3,12
8,2,10,0,48,7,14,5
9,23,32,0,26,16,4,6
9,39,48,0,10,15,13,15
2,0,2,0,56,16,6,3
4,18,22,0,36,16,14,2
1,19,20,0,38,11,15,15
11,35,46,0,12,2,4,5
7,11,18,0,40,18,12,15
11,19,30,0,28,12,9,10
11,28,39,1,19,18,5,19
14,2,16,1,42,19,11,10
10,32,42,0,16,3,19,17
12,32,44,0,14,8,0,17
11,28,39,1,19,3,19,4
13,25,38,0,20,1,17,19
12,29,41,1,17,19,10,14
6,31,37,1,21,18,12,2
4,36,40,0,18,18,7,0
15,17,32,0,26,17,2,5
6,18,24,0,34,12,11,0
10,25,35,1,23,10,16,7
3,7,10,0,48,19,4,19
8,34,42,0,16,11,14,9
10,30,40,0,18,12,14,0
12,25,37,1,21,4,15,9
10,12,22,0,36,14,6,4
7,13,20,0,38,16,7,17
19,17,36,0,22,13,8,1
10,26,36,0,22,9,17,15
16,31,47,1,11,3,18,8
14,26,40,0,18,0,8,0
11,37,48,0,10,12,19,13
17,38,55,1,3,13,11,9
2,28,30,0,28,15,7,15
18,14,32,0,26,19,0,12
17,23,40,0,18,9,12,15
10,17,27,1,31,16,12,9
14,25,39,1,19,14,19,0
10,32,42,0,16,5,14,2
5,14,19,1,39,16,0,9
15,20,35,1,23,1,11,7
4,1,5,1,53,11,14,15
6,29,35,1,23,18,9,8
10,19,29,1,29,13,8,17
16,18,34,0,24,18,16,3
7,21,28,0,30,1,12,7
9,8,17,1,41,10,13,15
0,23,23,1,35,15,9,2
2,29,31,1,27,12,5,6
1,13,14,0,44,17,10,15
1,5,6,0,52,9,19,11
17,15,32,0,26,13,12,15
16,7,23,1,35,8,14,10
16,14,30,0,28,17,2,17
1,25,26,0,32,2,19,17
1,4,5,1,53,5,4,19
5,29,34,0,24,1,19,2
11,8,19,1,39,14,8,11
6,35,41,1,17,4,18,2
9,29,38,0,20,6,17,4
3,10,13,1,45,16,15,6
14,22,36,0,22,7,18,12
6,4,10,0,48,2,12,8
1,3,4,0,54,0,16,17
14,38,52,0,6,4,3,5
18,32,50,0,8,18,1,12
0,6,6,0,52,10,10,15
8,11,19,1,39,19,16,19
16,7,23,1,35,4,15,4
14,15,29,1,29,7,10,14
17,11,28,0,30,3,10,1
8,13,21,1,37,7,12,10
7,21,28,0,30,11,17,8
14,7,21,1,37,16,16,19
3,35,38,0,20,7,2,15
4,29,33,1,25,15,11,18
12,30,42,0,16,12,7,17
13,6,19,1,39,5,15,8
2,28,30,0,28,18,10,14
10,33,43,1,15,8,19,0
7,7,14,0,44,3,8,11
10,30,40,0,18,19,13,0
19,14,33,1,25,18,2,14
1,31,32,0,26,0,18,19
19,19,38,0,20,18,3,13
8,32,40,0,18,18,7,16
15,5,20,0,38,16,16,4
8,15,23,1,35,5,19,19
6,10,16,0,42,12,9,11
15,9,24,0,34,10,9,13
13,12,25,1,33,12,0,15
2,15,17,1,41,12,19,12
14,5,19,1,39,12,0,6
15,28,43,1,15,10,0,12
7,22,29,1,29,13,9,13
18,33,51,1,7,10,0,17
12,28,40,0,18,0,3,9
6,5,11,1,47,0,12,10
0,2,2,0,56,19,14,10
13,16,29,1,29,18,5,2
4,19,23,1,35,11,15,1
15,9,24,0,34,3,12,0
10,31,41,1,17,15,4,13
9,23,32,1,26,2,14,8
3,29,32,0,26,7,11,17
14,4,18,0,40,6,16,14
3,32,35,1,23,0,3,2
8,8,16,0,42,16,4,2
16,17,33,1,25,10,6,7
18,17,35,1,23,6,6,18
19,32,51,1,7,10,17,0
19,11,30,0,28,0,14,3
11,9,20,0,38,8,10,0
4,13,17,1,41,10,10,8
16,14,30,0,28,6,17,19
16,7,52,1,35,16,8,13
19,7,26,0,32,4,4,9
13,9,22,0,36,2,2,2
2,18,20,0,38,10,6,7
10,13,7,1,35,17,13,10
8,15,23,1,35,7,9,5
16,28,44,0,14,0,8,14
7,9,16,0,42,19,9,19
6,36,42,0,16,8,19,4
1,30,31,1,27,3,19,5
16,6,22,0,36,12,3,2
15,12,27,1,31,6,2,14
0,7,7,1,51,18,4,9
8,10,18,0,40,5,17,5
9,14,23,1,35,11,9,4
9,5,14,0,44,10,17,1
18,0,18,0,40,4,12,9
3,17,20,0,38,9,11,13
6,28,34,0,24,2,5,4
3,12,15,1,43,12,6,0
4,34,38,0,20,15,2,9
18,14,32,0,26,19,10,13
18,36,54,0,4,6,5,6
0,9,9,1,49,5,5,5
12,21,33,1,25,10,0,3
4,30,34,0,24,13,15,14
3,2,5,1,53,19,18,17
5,37,42,0,16,0,9,15
3,14,17,1,41,4,10,10
9,19,28,0,30,5,18,14
19,25,44,0,14,5,10,7
11,25,36,0,22,9,12,0
14,0,14,0,44,17,8,7
9,34,43,1,15,0,10,14
0,24,24,0,34,16,10,12
1,39,40,0,18,12,14,19
5,18,23,1,35,12,12,19
4,24,28,0,30,13,10,4
16,17,33,1,25,2,1,0
16,35,55,1,7,14,18,5
17,33,50,0,8,4,17,17
12,36,48,0,10,10,3,16
11,20,31,1,27,13,5,1
12,31,43,1,15,12,19,3
8,14,22,0,36,6,6,11
13,18,31,1,27,7,16,13
15,30,45,1,13,9,15,19
15,3,18,0,40,0,17,15
12,28,40,0,18,14,0,4
1,0,1,1,57,1,9,0
14,23,37,1,21,9,11,12
7,19,26,0,32,13,16,11
14,18,32,0,26,1,4,18
10,19,29,1,29,19,6,11
17,19,36,0,22,7,3,10
6,16,22,0,36,0,15,6
18,18,36,0,22,13,19,1
16,22,38,0,20,11,2,17
6,30,36,0,22,12,4,16
9,22,31,1,27,15,6,3
10,25,35,1,23,9,17,14
15,33,48,0,10,16,8,7
13,39,32,0,6,7,5,8
17,4,21,1,37,10,6,16
7,28,35,1,23,3,11,16
10,9,19,1,39,12,7,3
8,7,15,1,43,5,2,6
18,31,49,1,9,13,16,16
6,2,8,0,50,16,8,18
11,33,44,0,14,17,5,1
2,30,32,0,26,18,14,16
17,39,56,0,2,2,14,9
7,26,33,1,25,2,3,11
6,34,40,0,18,18,1,1
11,4,15,1,43,7,0,13
9,35,44,0,14,0,15,13
16,6,22,0,36,5,12,13
10,12,22,0,36,16,15,15
10,5,15,1,43,7,12,18
2,16,18,0,40,1,8,16
0,29,29,1,29,14,11,14
7,10,17,1,41,3,14,19
19,32,51,1,7,7,7,13
18,24,42,0,16,0,18,13
12,25,37,1,21,12,17,10
12,37,49,1,9,8,16,15
7,17,24,0,34,17,19,1
3,13,16,0,42,6,7,10
0,39,39,1,19,4,2,8
6,22,28,0,30,3,9,18
6,24,30,0,28,4,14,1
3,11,14,0,44,9,15,12
5,8,13,1,45,1,7,3
0,6,6,0,52,8,5,17
12,8,20,0,38,17,8,17
18,7,25,1,33,15,16,4
13,29,42,0,16,12,1,17
8,2,10,0,48,17,6,9
8,25,33,1,25,15,4,19
6,37,43,1,15,13,16,14
2,30,32,0,26,17,9,0
11,16,27,1,31,2,1,4
11,2,13,1,45,16,5,8
0,33,33,1,25,5,0,4
8,0,8,0,50,14,9,2
5,27,32,0,26,18,19,19
3,26,29,1,29,9,11,17
14,7,21,1,37,1,17,8
10,29,39,1,19,7,14,4
12,7,19,1,39,8,17,3
14,9,23,1,35,18,6,18
19,32,51,1,7,18,19,6
16,39,55,1,3,11,4,0
12,10,22,0,36,19,8,7
17,36,53,1,5,8,13,9
9,36,45,1,13,8,5,12
19,30,49,1,9,16,5,6
15,5,20,0,38,13,2,18
13,11,24,0,34,10,0,12
18,27,28,1,13,9,10,19
10,39,49,1,9,14,19,7
14,32,46,0,12,15,4,13
5,16,21,1,37,9,8,7
19,9,28,0,30,0,18,13
12,38,50,0,8,2,15,14
15,11,26,0,32,2,0,6
9,13,22,0,36,9,10,18
17,38,55,1,3,12,2,17
1,22,23,1,35,16,4,17
2,10,12,0,46,4,4,4
10,0,10,0,48,15,12,14
14,17,31,1,27,13,3,2
16,39,55,1,3,1,5,2
8,17,25,1,33,7,4,19
12,27,39,1,19,6,7,3
11,10,21,1,37,17,13,17
19,31,50,0,8,18,7,8
13,31,44,0,14,16,6,6
8,24,32,0,26,10,10,1
19,30,49,1,9,9,12,13
2,23,42,1,33,6,0,14
19,15,34,0,24,15,17,9
3,29,32,0,26,1,18,16
5,33,38,0,20,5,12,6
16,33,49,1,9,2,11,11
14,8,22,0,36,9,13,5
19,27,46,0,12,5,8,11
14,0,14,0,44,3,7,2
12,22,34,0,24,7,7,9
6,22,28,0,30,17,3,10
0,14,14,0,44,11,16,11
2,39,41,1,17,16,6,8
5,35,40,0,18,18,5,12
0,1,1,1,57,18,19,10
10,8,18,0,40,7,10,5
15,8,23,1,35,17,12,4
19,35,54,0,4,18,4,12
9,20,29,1,29,19,5,18
17,29,46,0,12,7,14,15
19,32,51,1,7,4,9,12
17,30,47,1,11,11,2,18
9,3,12,0,46,18,16,17
6,5,11,1,47,18,8,10
19,15,34,0,24,11,13,2
4,13,17,1,41,2,6,12
8,29,37,1,21,8,11,12
1,6,7,1,51,14,15,5
15,14,29,1,29,11,17,16
12,9,21,1,37,6,4,17
1,7,8,0,50,6,13,6
4,6,10,0,48,1,18,9
11,7,18,0,40,5,12,3
10,22,32,0,26,13,2,3
16,16,32,0,26,4,3,5
5,17,22,0,36,19,4,7
18,19,37,1,21,1,2,5
8,29,37,1,21,11,15,3
16,34,50,0,8,9,19,8
4,21,25,1,33,16,10,12
0,25,25,1,33,17,11,6
1,29,30,0,28,10,15,10
7,27,1,0,24,12,8,5
19,5,24,0,34,13,9,14
0,39,39,1,19,10,11,12
7,6,13,1,45,3,6,19
2,16,18,0,40,8,1,1
18,26,44,0,14,4,11,17
13,16,29,1,29,9,16,6
15,9,24,0,34,12,1,1
14,36,50,0,8,4,4,13
13,2,15,1,43,4,5,3
15,9,24,0,34,16,16,3
0,39,39,1,19,7,10,19
17,29,46,0,12,3,10,4
14,3,17,1,41,14,12,10
14,30,44,0,14,14,5,4
7,38,25,1,13,16,14,2
16,3,19,1,39,15,0,0
7,16,23,1,35,19,2,0
0,18,18,0,40,11,16,9
18,5,23,1,35,5,13,8
4,8,12,0,46,17,3,0
2,6,8,0,50,5,8,6
12,7,19,1,39,5,1,5
4,16,20,0,38,16,13,11
17,18,35,1,23,17,15,19
8,9,17,1,41,6,5,13
0,11,11,1,47,14,7,18
19,7,26,0,32,18,4,3
10,31,41,1,17,15,7,4
5,8,13,1,45,0,5,15
13,36,49,1,9,13,4,6
10,21,31,1,27,3,8,16
0,32,32,0,26,16,17,9
15,25,40,0,18,1,15,4
8,10,18,0,40,19,5,16
13,24,37,1,21,3,18,11
17,10,27,1,31,8,4,16
12,4,16,0,42,4,18,9
13,10,23,1,35,16,6,2
5,11,16,0,42,7,10,13
4,5,9,1,49,14,4,2
8,0,8,0,50,1,15,13
17,37,54,0,4,9,6,8
10,20,30,0,28,18,17,15
6,16,22,0,36,18,1,17
15,37,52,0,6,4,10,8
17,8,25,1,33,7,3,17
18,16,34,0,24,8,17,2
5,33,38,0,20,11,8,2
14,25,39,1,19,10,13,19
11,15,26,0,32,2,17,11
8,10,18,0,40,15,10,9
7,1,8,0,50,4,1,3
2,3,5,1,53,6,4,5
5,6,11,1,47,16,4,13
10,31,41,1,17,13,18,16
17,25,42,0,16,7,18,18
17,17,34,0,24,18,9,8
3,31,34,0,24,7,17,9
13,6,19,1,39,11,4,3
1,8,9,1,49,4,13,1
13,15,28,0,30,3,7,8
6,36,42,0,16,9,4,11
8,24,32,0,26,11,5,2
14,34,48,0,10,16,8,8
8,9,17,1,41,7,6,12
16,33,49,1,9,17,4,16
10,2,12,0,46,12,6,18
19,9,28,0,30,1,2,6
12,20,32,0,26,14,19,7
5,2,7,1,51,11,7,17
15,34,49,1,9,7,2,13
8,34,42,0,16,9,11,5
10,21,31,1,27,6,17,13
2,12,14,0,44,12,7,3
2,3,5,1,53,11,16,8
11,24,35,1,23,8,12,6
3,21,24,0,34,5,14,19
19,30,49,1,9,7,5,0
17,24,41,1,17,9,0,17
14,5,19,1,39,9,6,5
14,4,18,0,40,6,18,0
11,31,42,0,16,11,15,13
1,6,7,1,51,4,15,13
7,37,44,0,14,10,17,2
9,4,13,1,45,2,7,0
18,29,47,1,11,9,6,2
4,39,43,1,15,15,18,8
9,17,26,0,32,16,11,2
6,2,8,0,50,13,5,14
2,35,37,1,21,14,5,1
2,7,9,1,49,1,17,15
7,21,28,0,30,6,1,17
1,39,40,0,18,13,1,14
1,29,30,0,28,16,14,18
7,1,8,0,50,11,0,18
4,32,36,0,22,17,3,0
11,6,17,1,41,5,19,6
0,29,29,1,29,3,8,15
6,24,30,0,28,1,14,6
9,11,20,0,38,11,9,14
19,16,51,1,23,13,1,15
12,4,16,0,42,5,3,19
17,39,56,0,2,15,15,6
6,9,15,1,43,14,1,6
8,12,20,0,38,7,11,0
8,20,28,0,30,4,6,5
17,26,43,1,15,14,7,5
19,20,39,1,19,13,19,9
19,20,39,1,19,3,12,8
15,23,38,0,20,5,12,17
10,34,44,0,14,9,7,15
10,15,25,1,33,10,7,14
19,33,52,0,6,3,13,0
5,31,36,0,22,18,0,9
6,38,44,0,14,7,4,14
17,36,53,1,5,7,12,4
7,31,38,0,20,1,12,8
4,9,41,1,45,17,1,14
11,30,41,1,17,4,15,15
6,29,35,1,23,19,10,17
17,11,28,0,30,9,4,8
18,27,45,1,13,17,15,7
6,10,16,0,42,3,19,7
10,20,30,0,28,3,8,13
19,31,50,0,8,16,5,8
14,7,21,1,37,16,5,8
4,13,17,1,41,10,11,3
11,31,42,0,16,0,0,9
12,18,30,0,28,18,9,4
13,38,51,1,7,7,0,10
0,0,0,0,58,18,0,17
5,28,33,1,25,17,8,15
17,32,49,1,9,17,14,9
4,36,40,0,18,13,17,19
5,6,11,1,47,13,1,19
6,39,45,1,13,10,4,8
3,15,18,0,40,0,8,15
3,14,17,1,41,7,11,6
6,14,20,0,38,14,19,17
17,25,42,0,16,16,13,7
0,26,23,0,32,11,10,5
5,18,23,1,35,14,1,2
1,2,3,1,55,0,1,16
11,39,50,0,8,9,3,5
5,8,13,1,45,10,13,16
15,3,18,0,40,17,6,1
11,23,34,0,24,6,4,10
15,16,31,1,27,4,13,8
12,24,36,0,22,7,16,8
8,35,43,1,15,3,8,3
17,3,20,0,38,11,17,1
9,11,20,0,38,12,14,6
18,20,38,0,20,16,14,9
19,31,50,0,8,19,17,15
11,24,35,1,23,1,3,9
13,15,28,0,30,4,15,4
5,24,29,1,29,6,19,5
16,39,55,1,3,4,19,12
13,19,32,0,26,16,11,8
18,35,53,1,5,2,15,18
5,31,36,0,22,0,17,8
15,12,27,1,31,17,17,11
9,9,18,0,40,19,17,1
3,30,33,1,25,4,16,3
3,8,11,1,47,6,7,17
11,13,24,0,34,10,14,6
6,9,15,1,43,10,8,8
2,24,26,0,32,19,16,11
8,11,19,1,39,8,16,1
13,26,39,1,19,0,18,10
6,37,43,1,15,8,11,6
19,33,52,0,6,11,9,2
15,37,52,0,6,10,3,8
10,0,10,0,48,10,12,8
18,18,36,0,22,18,11,3
8,8,16,0,42,16,10,10
2,36,38,0,20,5,13,14
0,28,28,0,30,7,17,5
18,12,30,0,28,13,2,19
19,22,41,1,17,8,8,12
14,24,38,0,20,8,14,15
2,19,21,1,37,3,16,1
5,18,23,1,35,5,15,15
0,2,2,0,56,14,15,6
1,18,19,1,39,16,17,14
4,13,17,1,41,15,19,16
11,32,43,1,15,6,12,5
1,34,35,1,23,2,4,5
19,30,49,1,9,3,11,1
9,1,10,0,48,7,14,12
5,33,38,0,20,10,2,15
10,15,25,1,33,17,15,8
15,16,31,1,27,17,10,3
6,37,43,1,15,0,18,6
0,34,34,0,24,14,4,8
1,2,3,1,55,5,18,18
17,14,31,1,27,3,8,2
2,29,31,1,27,11,11,6
12,21,33,1,25,0,13,12
7,10,17,1,41,6,11,4
15,20,35,1,23,11,18,17
1,34,35,1,23,5,3,18
17,8,25,1,33,11,14,7
13,29,42,0,16,9,19,14
8,29,37,1,21,15,4,15
4,35,39,1,19,3,5,13
19,11,30,0,28,1,9,3
6,8,14,0,44,10,14,0
9,21,30,0,28,5,19,6
7,21,28,0,30,14,15,2
4,16,20,0,38,1,15,5
8,31,39,1,19,11,8,12
3,31,34,0,24,19,12,11
0,9,9,1,49,1,4,4
5,31,36,0,22,6,9,0
2,9,11,1,47,16,3,4
8,16,24,0,34,10,0,9
17,1,18,0,40,3,17,15
3,13,16,0,42,4,16,7
0,38,38,0,20,15,10,5
2,17,19,1,39,17,0,11
10,28,38,0,20,7,1,1
5,4,9,1,49,9,2,4
9,25,34,0,24,15,14,0
0,14,14,0,44,3,4,10
6,29,35,1,23,4,5,8
8,37,45,1,13,15,17,11
8,21,29,1,29,3,17,12
11,4,15,1,43,15,15,7
15,19,34,0,24,9,6,17
9,4,13,1,45,19,11,18
16,17,33,0,25,0,4,2
10,2,12,0,46,18,17,18
5,25,30,0,28,4,1,3
4,12,16,0,42,0,14,4
6,8,14,0,44,14,10,10
11,0,11,1,47,10,15,0
4,35,39,1,19,16,9,7
18,33,51,1,7,2,3,3
9,32,41,1,17,1,15,9
17,2,19,1,39,11,12,16
13,13,26,0,32,17,9,18
6,38,44,0,14,8,7,4
4,23,27,1,31,15,6,10
14,5,19,1,39,18,9,9
6,5,11,1,47,17,5,8
4,10,14,0,44,10,5,12
18,38,56,0,2,13,5,19
9,6,15,1,43,10,0,8
0,36,36,0,22,13,18,1
9,27,36,0,22,11,4,18
9,36,45,1,13,10,3,18
17,33,50,0,8,8,3,6
14,13,27,1,31,13,19,10
3,33,36,0,22,15,9,17
3,6,9,1,49,18,6,10
12,11,23,1,35,12,8,9
0,8,8,0,50,2,1,18
6,5,11,1,47,11,6,16
2,3,5,1,53,6,4,10
0,7,7,1,51,0,16,3
18,4,22,0,36,1,1,8
1,15,16,0,42,11,8,13
0,2,2,0,56,18,15,5
18,2,20,0,38,10,16,10
3,39,42,0,16,8,10,13
16,3,19,1,39,1,4,1
0,2,2,0,56,13,6,11
3,1,4,0,54,1,4,14
2,5,7,1,51,16,13,4
14,21,35,1,23,16,5,10
12,33,45,1,13,19,12,14
9,29,38,0,20,5,13,0
4,23,27,1,31,3,18,12
1,3,4,0,54,5,7,5
11,30,41,1,17,15,19,7
4,1,5,1,53,4,8,12
11,25,36,0,22,17,13,0
13,16,29,1,29,3,13,0
16,35,51,1,7,0,16,8
9,12,21,1,37,4,9,18
0,25,25,1,33,15,15,0
5,17,22,0,36,12,7,15
17,20,37,1,21,7,9,1
10,37,47,1,11,13,9,9
12,28,40,0,18,12,14,8
9,16,25,1,33,11,12,9
3,17,20,0,38,10,1,1
17,28,45,1,13,2,16,15
15,13,28,0,30,5,15,5
19,6,25,1,33,10,2,15
17,18,35,1,23,2,19,13
5,2,7,1,51,9,13,11
5,6,11,1,47,2,1,6
4,16,20,0,38,15,9,13
18,31,49,1,9,2,16,19
11,31,42,0,16,1,5,18
9,10,19,1,39,12,18,18
19,16,35,1,23,4,8,4
12,6,18,0,40,7,4,11
18,30,48,0,10,6,7,7
19,9,28,0,30,4,10,19
1,31,32,0,26,15,13,19
7,33,40,0,18,13,18,17
14,27,41,1,17,4,3,3
16,13,29,1,29,13,19,6
2,38,40,0,18,14,10,14
6,27,33,1,25,10,2,14
10,25,35,1,23,11,18,7
15,34,49,1,9,18,6,2
2,35,37,1,21,9,12,2
12,3,15,1,43,7,13,13
5,35,40,0,18,10,0,9
4,30,34,0,24,16,4,9
10,8,18,0,40,14,13,16
8,12,20,0,38,1,6,0
12,30,42,0,16,9,0,15
6,8,14,0,44,14,0,5
16,18,34,0,24,4,16,18
1,27,28,0,30,19,3,19
17,26,43,1,15,16,2,10
0,36,36,0,22,16,11,6
14,4,18,0,40,1,2,4
6,11,17,1,41,11,13,3
7,39,46,0,12,10,10,19
0,22,22,0,36,12,12,3
14,9,23,1,35,17,9,8
3,11,14,0,44,7,15,9
13,13,26,0,32,10,12,13
14,22,36,0,22,13,8,16
16,11,27,1,31,15,0,11
14,24,38,0,20,15,5,15
6,17,23,1,35,6,2,11
14,24,38,0,20,19,0,8
16,6,22,0,36,0,5,3
6,24,30,0,28,9,4,4
2,36,38,0,20,12,1,8
17,5,22,0,36,1,6,0
2,13,15,1,43,9,10,6
11,27,38,0,20,11,3,9
4,24,28,0,30,12,5,9
2,26,28,0,30,2,0,16
15,22,37,1,21,5,1,19
2,27,29,1,29,4,3,14
13,24,37,1,21,12,9,1
13,2,15,1,43,6,13,8
1,30,31,1,27,11,15,14
3,17,20,0,38,14,12,11
15,2,17,1,41,15,12,9
10,16,26,0,32,3,18,8
2,17,19,1,39,18,5,8
19,3,22,0,36,3,15,11
5,39,44,0,14,0,18,3
0,8,8,0,50,0,11,10
18,13,31,1,27,4,16,4
0,17,17,1,41,17,2,13
11,33,44,0,14,4,17,17
19,29,48,0,10,13,11,10
11,30,41,1,17,8,4,7
11,9,20,0,38,0,1,18
7,33,40,0,18,8,14,13
2,33,35,1,23,0,8,8
11,18,29,1,29,9,6,0
17,21,38,0,20,11,7,0
1,1,2,0,56,10,19,4
17,30,47,1,11,5,8,4
8,38,46,0,12,15,1,14
10,18,28,0,30,11,5,10
3,21,24,0,34,5,2,19
12,19,31,1,27,8,13,10
3,3,6,0,52,2,16,18
5,24,29,1,29,18,16,11
14,28,42,0,16,15,12,7
1,37,38,0,20,5,15,14
8,37,45,1,13,13,8,8
11,19,30,0,28,13,12,5
2,38,40,0,18,12,2,9
5,21,26,0,32,1,10,13
6,25,31,1,27,17,11,7
13,24,37,1,21,19,0,14
19,39,58,0,0,19,10,19
16,29,45,1,13,19,14,8
3,4,7,1,51,18,7,5
0,2,49,0,56,14,10,8
1,16,17,1,41,1,5,16
11,20,31,1,27,9,5,3
3,26,29,1,29,4,2,19
4,19,23,1,35,4,6,8
16,20,36,0,22,16,16,16
17,36,53,1,5,16,18,15
16,13,29,1,29,10,12,15
5,19,24,0,34,14,12,18
12,22,34,0,24,2,12,3
12,18,30,0,28,4,9,11
3,38,41,1,17,17,8,1
11,38,49,1,9,9,12,5
10,20,30,0,28,10,15,0
7,18,25,1,33,9,8,13
15,23,38,0,20,4,11,12
13,7,20,0,38,16,9,14
10,17,27,1,31,15,5,3
14,8,22,0,36,13,5,6
15,5,20,0,38,7,1,13
11,3,14,0,44,12,8,16
5,23,28,0,30,19,14,17
15,0,15,1,43,12,13,1
14,25,39,1,19,9,19,8
19,17,36,0,22,5,0,0
2,14,16,0,42,10,15,16
8,30,38,0,20,7,15,2
18,21,39,1,19,12,8,16
10,29,39,1,19,0,5,3
18,28,46,0,12,3,7,0
0,1,1,1,57,15,13,17
0,8,8,0,50,7,17,8
15,22,37,1,21,8,12,8
7,39,46,0,12,10,10,12
10,6,16,0,42,8,13,5
8,4,12,0,46,15,1,13
8,37,45,1,13,4,12,8
18,38,56,0,2,15,0,5
1,6,7,1,51,4,19,7
15,16,31,1,27,7,17,0
17,25,42,0,16,11,10,6
13,7,20,0,38,17,7,11
7,13,20,0,38,4,14,2
3,15,18,0,40,11,12,2
13,25,38,0,20,1,14,13
9,12,21,1,37,1,10,8
2,16,18,1,40,15,4,2
7,11,18,0,40,14,1,14
19,30,49,1,9,7,5,15
5,6,11,1,47,12,10,0
3,9,12,0,46,7,8,4
13,9,22,0,36,5,10,7
3,36,39,1,19,8,5,14
18,37,55,1,3,6,18,1
17,20,37,1,21,16,7,16
19,6,25,1,33,8,16,6
18,30,48,0,10,6,7,2
4,19,23,1,35,10,8,17
4,33,37,1,21,15,12,1
6,14,20,0,38,5,5,2
9,39,48,0,10,18,4,18
17,32,49,1,9,9,7,10
14,8,22,0,36,13,16,9
12,29,41,1,17,19,2,13
17,11,28,0,30,8,8,12
12,13,25,1,33,3,13,12
7,10,17,1,41,14,14,0
8,27,35,1,23,0,8,11
10,10,20,0,38,9,1,5
1,25,26,0,32,19,0,16
14,23,37,1,21,8,9,10
13,30,43,1,15,13,16,2
14,39,53,1,5,10,0,17
10,0,10,0,48,4,17,5
15,39,54,0,4,6,13,5
18,4,22,0,36,10,0,18
11,21,32,0,26,2,6,15
8,13,21,1,37,8,4,17
2,25,27,1,31,8,18,13
15,28,43,1,15,16,11,18
18,34,52,0,6,2,6,2
13,16,29,1,29,16,5,11
17,37,54,0,4,8,11,5
17,12,29,1,29,13,0,7
15,8,23,1,35,11,5,4
10,15,25,1,33,5,3,4
1,21,22,0,36,18,12,8
0,26,26,0,32,4,13,18
4,33,37,1,21,0,9,12
8,8,16,0,42,15,2,6
14,12,26,0,32,12,7,8
9,37,46,0,12,17,16,10
0,17,17,1,41,9,4,4
4,9,26,1,45,0,3,10
19,39,58,0,0,0,2,13
19,17,36,0,22,8,16,4
